Name,Team,Url,Type,ValueinCR,Full Name,Born,Age,National Side,Batting Style,Bowling,Sport,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
Tymal Mills,MI,https://sports.ndtv.com/cricket/players/51462-tymal-solomon-mills-playerprofile,Bowler ,1.50,Tymal Solomon Mills,"August 12, 1992 Dewsbury, Yorkshire","29 Years, 7 Months, 3 Days",England,Right Handed,Left-arm fast,T20 International,12,3,2,1,1* v WI,0,0,0,0,1.00,33.33,1,0,2,0,12,41.4,1,339,11,3/27 v BAN,1,0,30.81,8.13,22.72,12
Jaydev Unadkat,MI,https://sports.ndtv.com/cricket/players/1298-jaydev-unadkat-playerprofile,Bowler ,1.30,Jaydev Dipakbhai Unadkat,"October 18, 1991 Porbandar","30 Years, 4 Months, 29 Days",India,Right Handed,Left-arm medium,T20 International,10,0,0,,,0,0,0,0,,0.00,3,0,0,0,10,34.4,0,301,14,3/38 v BAN,1,0,21.50,8.68,14.85,10
Riley Meredith,MI,https://sports.ndtv.com/cricket/players/113157-riley-meredith-playerprofile,Bowler ,1.00,Riley Patrick Meredith,"June 21, 1996 Hobart, Tasmania","25 Years, 8 Months, 24 Days",Australia,Right Handed,Right-arm fast,T20 International,5,0,0,,,0,0,0,0,,0.00,,,0,0,5,18.5,0,188,8,3/48 v WI,1,0,23.50,9.98,14.12,5
Fabian Allen,MI,https://sports.ndtv.com/cricket/players/64663-fabian-allen-playerprofile,All-Rounder ,0.75,Fabian Anthony Allen,"May 7, 1995 Kingston, Jamaica","26 Years, 10 Months, 9 Days",West Indies,Right Handed,Slow left-arm orthodox,T20 International,34,24,8,267,34 v SA,0,0,15,21,16.68,136.92,22,0,4,1,29,86.5,1,646,24,2/18 v SA,0,0,26.91,7.43,21.70,29
Mayank Markande,MI,https://sports.ndtv.com/cricket/players/108589-mayank-markande-playerprofile,Bowler ,0.65,Mayank Markande,"November 11, 1997 Bathinda, Punjab","24 Years, 4 Months, 4 Days",India,Right Handed,Leg break,T20 International,1,0,0,,,0,0,0,0,,0.00,,,0,0,1,4,0,31,0,0/31 v AUS,0,0,,7.75,,1
Sanjay Yadav,MI,https://sports.ndtv.com/cricket/players/107487-r-sanjay-yadav-playerprofile,All-Rounder ,0.50,Ramsingh Sanjay Yadav,"May 10, 1995 Gorakhpur, Uttar Pradesh","26 Years, 10 Months, 6 Days",India,Left Handed,Slow left-arm orthodox,T20 Domestic,34,31,5,683,95 v ITT,0,4,51,40,26.26,136.32,16,0,4,5,30,86.3,2,635,15,2/29 v ITT,0,0,42.33,7.34,34.60,30
Basil Thampi,MI,https://sports.ndtv.com/cricket/players/106722-basil-thampi-playerprofile,Bowler ,0.30,Basil Thampi,"September 11, 1993 Ernakulam, Kerala","28 Years, 6 Months, 4 Days",India,Right Handed,Right-arm fast medium,T20 Domestic,3,3,0,31,19 v ROY,0,0,1,3,10.33,172.22,,,1,0,3,12,0,71,6,3/19 v LIO,1,0,11.83,5.91,12.00,3
Arjun Tendulkar,MI,https://sports.ndtv.com/cricket/players/106841-arjun-tendulkar-playerprofile,All-Rounder ,0.30,Arjun Sachin Tendulkar,"September 24, 1999 Mumbai","22 Years, 5 Months, 22 Days",India,Left Handed,Left-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramandeep Singh,MI,https://sports.ndtv.com/cricket/players/108554-ramandeep-singh-playerprofile,All-Rounder ,0.20,Ramandeep Singh,"April 13, 1997 Chandigarh","24 Years, 11 Months, 2 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anmolpreet Singh,MI,https://sports.ndtv.com/cricket/players/108576-anmolpreet-singh-playerprofile,Batsman ,0.20,Anmolpreet Singh,"March 28, 1998 Patiala, Punjab","23 Years, 11 Months, 18 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
